chunk_uid,source,page,chunk_id,text_length
arab_young.pdf::p1::c0,arab_young.pdf,1,0,164
arab_young.pdf::p2::c0,arab_young.pdf,2,0,616
arab_young.pdf::p2::c1,arab_young.pdf,2,1,873
arab_young.pdf::p3::c0,arab_young.pdf,3,0,660
arab_young.pdf::p3::c1,arab_young.pdf,3,1,472
arab_young.pdf::p4::c0,arab_young.pdf,4,0,750
arab_young.pdf::p4::c1,arab_young.pdf,4,1,798
arab_young.pdf::p4::c2,arab_young.pdf,4,2,562
arab_young.pdf::p4::c3,arab_young.pdf,4,3,393
arab_young.pdf::p5::c0,arab_young.pdf,5,0,814
arab_young.pdf::p5::c1,arab_young.pdf,5,1,198
arab_young.pdf::p6::c0,arab_young.pdf,6,0,860
arab_young.pdf::p6::c1,arab_young.pdf,6,1,489
arab_young.pdf::p7::c0,arab_young.pdf,7,0,818
arab_young.pdf::p7::c1,arab_young.pdf,7,1,809
arab_young.pdf::p7::c2,arab_young.pdf,7,2,857
arab_young.pdf::p8::c0,arab_young.pdf,8,0,862
arab_young.pdf::p8::c1,arab_young.pdf,8,1,768
arab_young.pdf::p8::c2,arab_young.pdf,8,2,835
arab_young.pdf::p9::c0,arab_young.pdf,9,0,882
arab_young.pdf::p9::c1,arab_young.pdf,9,1,785
arab_young.pdf::p9::c2,arab_young.pdf,9,2,767
arab_young.pdf::p10::c0,arab_young.pdf,10,0,676
arab_young.pdf::p10::c1,arab_young.pdf,10,1,861
arab_young.pdf::p10::c2,arab_young.pdf,10,2,768
arab_young.pdf::p10::c3,arab_young.pdf,10,3,294
arab_young.pdf::p11::c0,arab_young.pdf,11,0,720
arab_young.pdf::p13::c0,arab_young.pdf,13,0,288
arab_young.pdf::p14::c0,arab_young.pdf,14,0,481
arab_young.pdf::p15::c0,arab_young.pdf,15,0,567
arab_young.pdf::p16::c0,arab_young.pdf,16,0,503
arab_young.pdf::p17::c0,arab_young.pdf,17,0,439
arab_young.pdf::p18::c0,arab_young.pdf,18,0,715
arab_young.pdf::p19::c0,arab_young.pdf,19,0,454
arab_young.pdf::p20::c0,arab_young.pdf,20,0,538
arab_young.pdf::p21::c0,arab_young.pdf,21,0,505
arab_young.pdf::p22::c0,arab_young.pdf,22,0,399
arab_young.pdf::p23::c0,arab_young.pdf,23,0,362
arab_young.pdf::p26::c0,arab_young.pdf,26,0,731
arab_young.pdf::p26::c1,arab_young.pdf,26,1,802
arab_young.pdf::p26::c2,arab_young.pdf,26,2,418
arab_young.pdf::p27::c0,arab_young.pdf,27,0,673
arab_young.pdf::p28::c0,arab_young.pdf,28,0,531
arab_young.pdf::p29::c0,arab_young.pdf,29,0,546
arab_young.pdf::p29::c1,arab_young.pdf,29,1,823
arab_young.pdf::p29::c2,arab_young.pdf,29,2,375
arab_young.pdf::p30::c0,arab_young.pdf,30,0,815
arab_young.pdf::p31::c0,arab_young.pdf,31,0,632
arab_young.pdf::p32::c0,arab_young.pdf,32,0,519
arab_young.pdf::p33::c0,arab_young.pdf,33,0,798
arab_young.pdf::p36::c0,arab_young.pdf,36,0,728
arab_young.pdf::p36::c1,arab_young.pdf,36,1,854
arab_young.pdf::p36::c2,arab_young.pdf,36,2,375
arab_young.pdf::p37::c0,arab_young.pdf,37,0,692
arab_young.pdf::p38::c0,arab_young.pdf,38,0,309
arab_young.pdf::p39::c0,arab_young.pdf,39,0,808
arab_young.pdf::p40::c0,arab_young.pdf,40,0,680
arab_young.pdf::p40::c1,arab_young.pdf,40,1,765
arab_young.pdf::p41::c0,arab_young.pdf,41,0,892
arab_young.pdf::p42::c0,arab_young.pdf,42,0,680
arab_young.pdf::p43::c0,arab_young.pdf,43,0,539
arab_young.pdf::p44::c0,arab_young.pdf,44,0,456
arab_young.pdf::p45::c0,arab_young.pdf,45,0,861
arab_young.pdf::p45::c1,arab_young.pdf,45,1,357
arab_young.pdf::p48::c0,arab_young.pdf,48,0,848
arab_young.pdf::p48::c1,arab_young.pdf,48,1,868
arab_young.pdf::p48::c2,arab_young.pdf,48,2,521
arab_young.pdf::p49::c0,arab_young.pdf,49,0,509
arab_young.pdf::p50::c0,arab_young.pdf,50,0,464
arab_young.pdf::p51::c0,arab_young.pdf,51,0,736
arab_young.pdf::p52::c0,arab_young.pdf,52,0,571
arab_young.pdf::p53::c0,arab_young.pdf,53,0,807
arab_young.pdf::p54::c0,arab_young.pdf,54,0,531
arab_young.pdf::p55::c0,arab_young.pdf,55,0,442
arab_young.pdf::p55::c1,arab_young.pdf,55,1,801
arab_young.pdf::p56::c0,arab_young.pdf,56,0,745
arab_young.pdf::p56::c1,arab_young.pdf,56,1,426
arab_young.pdf::p57::c0,arab_young.pdf,57,0,702
arab_young.pdf::p57::c1,arab_young.pdf,57,1,739
arab_young.pdf::p58::c0,arab_young.pdf,58,0,764
arab_young.pdf::p58::c1,arab_young.pdf,58,1,411
arab_young.pdf::p59::c0,arab_young.pdf,59,0,891
arab_young.pdf::p59::c1,arab_young.pdf,59,1,191
arab_young.pdf::p60::c0,arab_young.pdf,60,0,554
arab_young.pdf::p61::c0,arab_young.pdf,61,0,889
arab_young.pdf::p62::c0,arab_young.pdf,62,0,593
arab_young.pdf::p63::c0,arab_young.pdf,63,0,897
arab_young.pdf::p64::c0,arab_young.pdf,64,0,841
arab_young.pdf::p65::c0,arab_young.pdf,65,0,624
arab_young.pdf::p66::c0,arab_young.pdf,66,0,823
arab_young.pdf::p67::c0,arab_young.pdf,67,0,461
arab_young.pdf::p68::c0,arab_young.pdf,68,0,900
arab_young.pdf::p68::c1,arab_young.pdf,68,1,164
arab_young.pdf::p69::c0,arab_young.pdf,69,0,890
arab_young.pdf::p69::c1,arab_young.pdf,69,1,349
arab_young.pdf::p70::c0,arab_young.pdf,70,0,490
arab_young.pdf::p72::c0,arab_young.pdf,72,0,720
arab_young.pdf::p72::c1,arab_young.pdf,72,1,865
arab_young.pdf::p72::c2,arab_young.pdf,72,2,616
arab_young.pdf::p73::c0,arab_young.pdf,73,0,866
arab_young.pdf::p73::c1,arab_young.pdf,73,1,845
arab_young.pdf::p73::c2,arab_young.pdf,73,2,597
arab_young.pdf::p74::c0,arab_young.pdf,74,0,859
arab_young.pdf::p75::c0,arab_young.pdf,75,0,549
arab_young.pdf::p76::c0,arab_young.pdf,76,0,822
arab_young.pdf::p76::c1,arab_young.pdf,76,1,226
arab_young.pdf::p77::c0,arab_young.pdf,77,0,828
arab_young.pdf::p77::c1,arab_young.pdf,77,1,489
arab_young.pdf::p78::c0,arab_young.pdf,78,0,394
arab_young.pdf::p78::c1,arab_young.pdf,78,1,899
arab_young.pdf::p78::c2,arab_young.pdf,78,2,233
