chunk_uid,source,page,chunk_id,text_length
Young_Statistical_2025.pdf::p2::c0,Young_Statistical_2025.pdf,2,0,325
Young_Statistical_2025.pdf::p3::c0,Young_Statistical_2025.pdf,3,0,779
Young_Statistical_2025.pdf::p3::c1,Young_Statistical_2025.pdf,3,1,172
Young_Statistical_2025.pdf::p4::c0,Young_Statistical_2025.pdf,4,0,618
Young_Statistical_2025.pdf::p4::c1,Young_Statistical_2025.pdf,4,1,900
Young_Statistical_2025.pdf::p4::c2,Young_Statistical_2025.pdf,4,2,200
Young_Statistical_2025.pdf::p5::c0,Young_Statistical_2025.pdf,5,0,538
Young_Statistical_2025.pdf::p5::c1,Young_Statistical_2025.pdf,5,1,899
Young_Statistical_2025.pdf::p5::c2,Young_Statistical_2025.pdf,5,2,723
Young_Statistical_2025.pdf::p6::c0,Young_Statistical_2025.pdf,6,0,584
Young_Statistical_2025.pdf::p6::c1,Young_Statistical_2025.pdf,6,1,880
Young_Statistical_2025.pdf::p6::c2,Young_Statistical_2025.pdf,6,2,494
Young_Statistical_2025.pdf::p7::c0,Young_Statistical_2025.pdf,7,0,831
Young_Statistical_2025.pdf::p7::c1,Young_Statistical_2025.pdf,7,1,411
Young_Statistical_2025.pdf::p7::c2,Young_Statistical_2025.pdf,7,2,773
Young_Statistical_2025.pdf::p7::c3,Young_Statistical_2025.pdf,7,3,441
Young_Statistical_2025.pdf::p8::c0,Young_Statistical_2025.pdf,8,0,680
Young_Statistical_2025.pdf::p8::c1,Young_Statistical_2025.pdf,8,1,711
Young_Statistical_2025.pdf::p9::c0,Young_Statistical_2025.pdf,9,0,819
Young_Statistical_2025.pdf::p9::c1,Young_Statistical_2025.pdf,9,1,648
Young_Statistical_2025.pdf::p9::c2,Young_Statistical_2025.pdf,9,2,523
Young_Statistical_2025.pdf::p10::c0,Young_Statistical_2025.pdf,10,0,801
Young_Statistical_2025.pdf::p10::c1,Young_Statistical_2025.pdf,10,1,845
Young_Statistical_2025.pdf::p10::c2,Young_Statistical_2025.pdf,10,2,425
Young_Statistical_2025.pdf::p11::c0,Young_Statistical_2025.pdf,11,0,824
Young_Statistical_2025.pdf::p11::c1,Young_Statistical_2025.pdf,11,1,900
